artist,style,genre,movement,tags,url,img,file_name
Vytautas Kairiukstis,Impressionism,nude painting (nu),Cubism,"['Male', 'Barechested', 'Sitting', 'Humanbody']",https://www.wikiart.org/en/vytautas-kairiukstis/sedincios-moters-aktas,https://uploads4.wikiart.org/00132/images/vytautas-kairiukstis/s-din-ios-moters-aktas.jpg!Large.jpg,156485-s-din-ios-moters-aktas.jpg
Vytautas Kairiukstis,Constructivism,"abstract,nude painting (nu)",Cubism,,https://www.wikiart.org/en/vytautas-kairiukstis/kompozcija-sedinti-moteris,https://uploads1.wikiart.org/00132/images/vytautas-kairiukstis/kompozcija-s-dinti-moteris-3.jpg!Large.jpg,156486-kompozcija-s-dinti-moteris-3.jpg
Vytautas Kairiukstis,Constructivism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vytautas-kairiukstis/composition-0,https://uploads4.wikiart.org/00125/images/vytautas-kairiukstis/t-4553-800x883.jpg!Large.jpg,156487-t-4553-800x883.jpg
Vytautas Kairiukstis,Constructivism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vytautas-kairiukstis/cubist-composition-sitting-woman,https://uploads0.wikiart.org/00125/images/vytautas-kairiukstis/meno-aristokratas-imagelarge.jpg!Large.jpg,156490-meno-aristokratas-imagelarge.jpg
Vytautas Kairiukstis,Cubism,nude painting (nu),Cubism,['Textile'],https://www.wikiart.org/en/vytautas-kairiukstis/sitting-woman,https://uploads6.wikiart.org/00125/images/vytautas-kairiukstis/imagegen.jpg,156491-imagegen.jpg
David Bomberg,Expressionism,nude painting (nu),Cubism,['female-nude'],https://www.wikiart.org/en/david-bomberg/lilian-1932,https://uploads5.wikiart.org/images/david-bomberg/lilian-1932.jpg!Large.jpg,156501-lilian-1932.jpg
Jacques Lipchitz,Cubism,nude painting (nu),Cubism,['Stringinstrument'],https://www.wikiart.org/en/jacques-lipchitz/seated-nude-1915,https://uploads3.wikiart.org/images/jacques-lipchitz/seated-nude-1915.jpg,156542-seated-nude-1915.jpg
Dorrit Black,Cubism,nude painting (nu),Cubism,['Male'],https://www.wikiart.org/en/dorrit-black/nude-with-cigarette-1930,https://uploads5.wikiart.org/00207/images/dorrit-black/nude-with-cigarette-1930-1.jpg,156564-nude-with-cigarette-1930-1.jpg
Dorrit Black,Expressionism,"sketch and study,nude painting (nu)",Cubism,"['Sketch', 'Figuredrawing']",https://www.wikiart.org/en/dorrit-black/seated-nude-with-hair-in-neck-bun-1933,https://uploads2.wikiart.org/00207/images/dorrit-black/seated-nude-with-hair-in-neck-bun-c-1933.jpg!Large.jpg,156571-seated-nude-with-hair-in-neck-bun-c-1933.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['fruits-and-vegetables', 'female-nude']",https://www.wikiart.org/en/marevna-marie-vorobieff/black-woman-with-peppers-1938,https://uploads6.wikiart.org/images/marevna-marie-vorobieff/black-woman-with-peppers-1938.jpg!Large.jpg,156616-black-woman-with-peppers-1938.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['animals', 'famous-people', 'dogs', 'cats', 'female-nude', 'Organism']",https://www.wikiart.org/en/marevna-marie-vorobieff/marika-with-her-dog-and-cats-1968,https://uploads1.wikiart.org/images/marevna-marie-vorobieff/marika-with-her-dog-and-cats-1968.jpg!Large.jpg,156635-marika-with-her-dog-and-cats-1968.jpg
Marevna (Marie Vorobieff),Pointillism,nude painting (nu),Cubism,"['female-nude', 'Sitting']",https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-2,https://uploads2.wikiart.org/images/marevna-marie-vorobieff/not-identified-2.jpg!Large.jpg,156640-not-identified-2.jpg
Marevna (Marie Vorobieff),Pointillism,nude painting (nu),Cubism,"['female-nude', 'Mythology']",https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-3,https://uploads2.wikiart.org/images/marevna-marie-vorobieff/not-identified-3.jpg!Large.jpg,156641-not-identified-3.jpg
Marevna (Marie Vorobieff),Pointillism,nude painting (nu),Cubism,['female-nude'],https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-4,https://uploads1.wikiart.org/images/marevna-marie-vorobieff/not-identified-4.jpg,156642-not-identified-4.jpg
