,artist,style,genre,movement,tags,url,img,file_name,detections,nude,gender
2542,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Sketch', 'Figuredrawing', 'Orange']",https://www.wikiart.org/en/egon-schiele/two-friends-1912,https://uploads0.wikiart.org/images/egon-schiele/two-friends-1912.jpg!Large.jpg,133677-two-friends-1912.jpg,,False,unknown
2543,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Sketch']",https://www.wikiart.org/en/egon-schiele/woman-with-blue-stockings-1912,https://uploads5.wikiart.org/images/egon-schiele/woman-with-blue-stockings-1912.jpg!Large.jpg,133681-woman-with-blue-stockings-1912.jpg,,False,unknown
2544,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['Male'],https://www.wikiart.org/en/egon-schiele/friendship-1913,https://uploads0.wikiart.org/00246/images/egon-schiele/schiele-freundschaft-1913.jpg!Large.jpg,133684-schiele-freundschaft-1913.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.2556290030479431, 'box': [256, 89, 70, 66]}]",False,female
2545,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/fighter-1913,https://uploads5.wikiart.org/images/egon-schiele/fighter-1913.jpg!Large.jpg,133689-fighter-1913.jpg,,False,unknown
2546,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/egon-schiele/seated-woman-1913,https://uploads1.wikiart.org/images/egon-schiele/seated-woman-1913.jpg!Large.jpg,133696-seated-woman-1913.jpg,,False,unknown
2547,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Fashionillustration', 'Sketch', 'Leg', 'Arm', 'Figuredrawing', 'Humanleg']",https://www.wikiart.org/en/egon-schiele/standing-female-nude-in-a-blue-robe-1913,https://uploads6.wikiart.org/images/egon-schiele/standing-female-nude-in-a-blue-robe-1913.jpg!Large.jpg,133699-standing-female-nude-in-a-blue-robe-1913.jpg,"[{'class': 'FEET_COVERED', 'score': 0.3573073148727417, 'box': [5, 408, 103, 156]}, {'class': 'FEET_COVERED', 'score': 0.2816926836967468, 'box': [165, 444, 71, 97]}]",False,unknown
2548,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'couples', 'male-nude']",https://www.wikiart.org/en/egon-schiele/lovers-man-and-woman-1914,https://uploads0.wikiart.org/images/egon-schiele/lovers-man-and-woman-1914.jpg!Large.jpg,133721-lovers-man-and-woman-1914.jpg,,False,unknown
2549,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['male-nude', 'Sketch', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/standing-male-nude-with-a-red-loincloth-1914,https://uploads1.wikiart.org/images/egon-schiele/standing-male-nude-with-a-red-loincloth-1914.jpg!Large.jpg,133737-standing-male-nude-with-a-red-loincloth-1914.jpg,,False,unknown
2550,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Sketch']",https://www.wikiart.org/en/egon-schiele/woman-undressing-1914,https://uploads5.wikiart.org/images/egon-schiele/woman-undressing-1914.jpg!Large.jpg,133741-woman-undressing-1914.jpg,,False,unknown
2551,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Leg', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/kneeling-female-nude-back-view-1915,https://uploads1.wikiart.org/images/egon-schiele/kneeling-female-nude-back-view-1915.jpg!Large.jpg,133750-kneeling-female-nude-back-view-1915.jpg,"[{'class': 'FEMALE_BREAST_COVERED', 'score': 0.28568655252456665, 'box': [240, 103, 67, 90]}]",False,female
2552,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/egon-schiele/two-girls-lying-entwined-1915,https://uploads4.wikiart.org/images/egon-schiele/two-girls-lying-entwined-1915.jpg!Large.jpg,133757-two-girls-lying-entwined-1915.jpg,,False,unknown
2553,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['Sketch', 'female-nude']",https://www.wikiart.org/en/egon-schiele/sitting-girl-1917,https://uploads2.wikiart.org/00246/images/egon-schiele/egon-schiele-weiblicher-akt-mit-gelbem-handtuch-1917.jpeg!Large.jpeg,133768-egon-schiele-weiblicher-akt-mit-gelbem-handtuch-1917.jpeg!Large.jpeg,,False,unknown
2554,Egon Schiele,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/egon-schiele/female-nude-lying-on-her-stomach-1917,https://uploads3.wikiart.org/images/egon-schiele/female-nude-lying-on-her-stomach-1917.jpg!Large.jpg,133770-female-nude-lying-on-her-stomach-1917.jpg,,False,unknown
2555,Egon Schiele,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Figuredrawing']",https://www.wikiart.org/en/egon-schiele/reclining-female-nude-1917,https://uploads1.wikiart.org/images/egon-schiele/reclining-female-nude-1917.jpg!Large.jpg,133785-reclining-female-nude-1917.jpg,,False,unknown
2556,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'male-nude', 'Sketch', 'Figuredrawing']",https://www.wikiart.org/en/ossip-zadkine/dance,https://uploads8.wikiart.org/images/ossip-zadkine/dance.jpg!Large.jpg,133818-dance.jpg,,False,unknown
2557,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'Figuredrawing', 'Mythology']",https://www.wikiart.org/en/ossip-zadkine/study-of-women,https://uploads8.wikiart.org/images/ossip-zadkine/study-of-women.jpg!Large.jpg,133823-study-of-women.jpg,,False,unknown
2558,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,['female-nude'],https://www.wikiart.org/en/ossip-zadkine/three-women-in-an-interior,https://uploads2.wikiart.org/images/ossip-zadkine/three-women-in-an-interior.jpg!Large.jpg,133835-three-women-in-an-interior.jpg,,False,unknown
2559,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,"['female-nude', 'male-nude', 'Swan']",https://www.wikiart.org/en/ossip-zadkine/at-the-water-s-edge,https://uploads3.wikiart.org/images/ossip-zadkine/at-the-water-s-edge.jpg,133842-at-the-water-s-edge.jpg,,False,unknown
2560,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,['male-nude'],https://www.wikiart.org/en/ossip-zadkine/three-personages,https://uploads1.wikiart.org/images/ossip-zadkine/three-personages.jpg!Large.jpg,133843-three-personages.jpg,,False,unknown
2561,Ossip Zadkine,Expressionism,nude painting (nu),Expressionism,['male-nude'],https://www.wikiart.org/en/ossip-zadkine/the-fight,https://uploads2.wikiart.org/images/ossip-zadkine/the-fight.jpg,133845-the-fight.jpg,,False,unknown
2562,Pinchus Kremegne,Expressionism,nude painting (nu),Expressionism,['Mythology'],https://www.wikiart.org/en/pinchus-kremegne/reclining-nude,https://uploads0.wikiart.org/00127/images/pinchus-kremegne/reclining-nude.jpg!Large.jpg,133874-reclining-nude.jpg,"[{'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.6271170973777771, 'box': [436, 235, 99, 93]}, {'class': 'FACE_FEMALE', 'score': 0.5751210451126099, 'box': [553, 109, 109, 94]}, {'class': 'FEET_EXPOSED', 'score': 0.48132526874542236, 'box': [29, 382, 136, 88]}]",True,female
2563,Lasar Segall,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/lasar-segall/dois-nus-1930,https://uploads5.wikiart.org/images/lasar-segall/dois-nus-1930.jpg,133894-dois-nus-1930.jpg,"[{'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.5604506731033325, 'box': [66, 210, 64, 55]}, {'class': 'FACE_MALE', 'score': 0.5245131254196167, 'box': [148, 39, 75, 77]}, {'class': 'ARMPITS_EXPOSED', 'score': 0.26997411251068115, 'box': [221, 154, 21, 28]}, {'class': 'MALE_BREAST_EXPOSED', 'score': 0.2628926634788513, 'box': [134, 160, 45, 48]}]",True,unknown
2564,Alexander Bazhbeuk-Melikyan,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/alexander-bazhbeuk-melikyan/group-of-women-1927,https://uploads3.wikiart.org/images/alexander-bazhbeuk-melikyan/group-of-women-1927(1).jpg!Large.jpg,133901-group-of-women-1927(1).jpg,"[{'class': 'FACE_FEMALE', 'score': 0.2686443328857422, 'box': [147, 270, 35, 33]}]",False,female
2565,Alexander Bazhbeuk-Melikyan,Expressionism,nude painting (nu),Expressionism,['Sitting'],https://www.wikiart.org/en/alexander-bazhbeuk-melikyan/in-front-of-the-mirror-1928,https://uploads8.wikiart.org/images/alexander-bazhbeuk-melikyan/in-front-of-the-mirror-1928.jpg!Large.jpg,133902-in-front-of-the-mirror-1928.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.8090967535972595, 'box': [152, 53, 68, 69]}, {'class': 'BELLY_EXPOSED', 'score': 0.5395784378051758, 'box': [131, 257, 91, 73]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.4225490689277649, 'box': [98, 179, 72, 57]}, {'class': 'MALE_BREAST_EXPOSED', 'score': 0.3282831311225891, 'box': [177, 177, 77, 59]}]",True,unknown
2566,Alexander Bazhbeuk-Melikyan,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/alexander-bazhbeuk-melikyan/bathing-women-1929,https://uploads7.wikiart.org/images/alexander-bazhbeuk-melikyan/bathing-women-1929.jpg,133904-bathing-women-1929.jpg,,False,unknown
2567,Alexander Bazhbeuk-Melikyan,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/alexander-bazhbeuk-melikyan/the-courtyard-1964,https://uploads8.wikiart.org/images/alexander-bazhbeuk-melikyan/the-courtyard-1964.jpg!Large.jpg,133906-the-courtyard-1964.jpg,,False,unknown
2568,Edwin Dickinson,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/edwin-dickinson/helen-souza-1929,https://uploads2.wikiart.org/images/edwin-dickinson/helen-souza-1929.jpg,133918-helen-souza-1929.jpg,,False,unknown
2569,Edwin Dickinson,Expressionism,nude painting (nu),Expressionism,,https://www.wikiart.org/en/edwin-dickinson/nude-figure-marie-1939,https://uploads8.wikiart.org/images/edwin-dickinson/nude-figure-marie-1939.jpg,133923-nude-figure-marie-1939.jpg,,False,unknown
2570,Spyros Papaloukas,Expressionism,nude painting (nu),Expressionism,"['Human', 'Flesh']",https://www.wikiart.org/en/spyros-papaloukas/nude-1917,https://uploads7.wikiart.org/images/spyros-papaloukas/nude-1917.jpg!Large.jpg,133937-nude-1917.jpg,"[{'class': 'BELLY_EXPOSED', 'score': 0.7215654253959656, 'box': [267, 216, 56, 55]}, {'class': 'FEET_EXPOSED', 'score': 0.7166028022766113, 'box': [227, 485, 51, 50]}, {'class': 'FEMALE_GENITALIA_EXPOSED', 'score': 0.7143081426620483, 'box': [275, 279, 34, 36]}, {'class': 'ARMPITS_EXPOSED', 'score': 0.5349323749542236, 'box': [322, 171, 18, 25]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.499936580657959, 'box': [292, 174, 41, 34]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.3818098306655884, 'box': [255, 175, 34, 36]}, {'class': 'FEET_EXPOSED', 'score': 0.3085138499736786, 'box': [286, 483, 41, 53]}, {'class': 'FACE_FEMALE', 'score': 0.2644541263580322, 'box': [272, 107, 41, 39]}]",True,female
